TENDER_PERFORMANCE,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY
95,AFXN,RICHMOND,VA,US,CLEAR BROOK,VA,US
89,RBTW,CHICAGO,IL,US,BROWNSTOWN,MI,US
85,RBTW,CHICAGO,IL,US,LANCASTER,TX,US
90,AEQC,RICHMOND,VA,US,MT. CRAWFORD,VA,US
95,AEQC,RICHMOND,VA,US,CARLISLE,PA,US
75,RBTW,LOSANGELES,CA,US,HENDERSON,NV,US
82,FDEG,DALLAS,TX,US,FORT COLLINS,CO,US
88,FDEG,DALLAS,TX,US,TAMPA,FL,US
95,ODFL,RICHMOND,VA,US,WINDSOR LOCKS,CT,US
67,LRGR,LANCASTER,TX,US,REPUBLIC,MO,US
97,RBTW,LANCASTER,TX,US,DAYTON,TX,US
75,FDEG,DALLAS,TX,US,SANTA ROSA,CA,US
99,WALM,MILTON,ON,CA,CALGARY,AB,CA
97,RBTW,RICHMOND,VA,US,CRANBURY,NJ,US
99,RBTW,LOSANGELES,CA,US,RICHMOND,VA,US
94,IQLS,SEATTLE,WA,US,RICHMOND,VA,US
88,RBTW,MILTON,ON,CA,CALGARY,AB,CA
75,RBTW,DALLAS,TX,US,MONTOURSVILLE,PA,US
97,ODFL,CHICAGO,IL,US,KILGORE,TX,US
94,BGXP,CHICAGO,IL,US,RICHMOND,VA,US
80,RBTW,DALLAS,TX,US,FENTON,MO,US
91,ODFL,DALLAS,TX,US,LOSANGELES,CA,US
92,RBTW,LOSANGELES,CA,US,PORTERVILLE,CA,US
93,ODFL,CHICAGO,IL,US,PRESCOTT VALLEY,AZ,US
50,RBTW,LOSANGELES,CA,US,CHARLOTTE,NC,US
96,ODFL,RICHMOND,VA,US,TAYLOR,PA,US
67,RBTW,CHICAGO,IL,US,NORTH CANTON,OH,US
80,ODFL,RICHMOND,VA,US,COPPELL,TX,US
90,AFXN,SEATTLE,WA,US,DUPONT,WA,US
50,FDEG,DALLAS,TX,US,AURORA,IL,US
91,RBTW,MILTON,ON,CA,MISSISSAUGA,ON,CA
98,FXFC,MILTON,ON,CA,HAMILTON,ON,CA
98,AFXN,LOSANGELES,CA,US,STOCKTON,CA,US
93,RBTW,RICHMOND,VA,US,FINDLAY,OH,US
99,LRGR,RICHMOND,VA,US,MIDWAY,TN,US
50,FDEG,DALLAS,TX,US,KANSAS CITY,MO,US
50,FDEG,DALLAS,TX,US,MIDDLETOWN,NJ,US
94,RBTW,CHICAGO,IL,US,PLAINFIELD,IN,US
84,FDEG,DALLAS,TX,US,SOUTH PLAINFIELD,NJ,US
94,BNCH,GRAND RAPIDS,MI,US,JIUJIANG CITY,JX,CN
50,FDEG,DALLAS,TX,US,ELK GROVE VILLAGE,IL,US
98,AACT,DALLAS,TX,US,GRAND PRAIRIE,TX,US
86,RBTW,CHICAGO,IL,US,BURLINGTON,NJ,US
100,LRGR,LOSANGELES,CA,US,PORTERVILLE,CA,US
72,RBTW,RICHMOND,VA,US,GREENVILLE,TN,US
99,LRGR,LANCASTER,TX,US,SCHERTZ,TX,US
98,ODFL,DALLAS,TX,US,MADISONVILLE,KY,US
98,LRGR,RICHMOND,VA,US,DELTONA,FL,US
95,RBTW,CHICAGO,IL,US,GREENWOOD,IN,US
50,FDEG,DALLAS,TX,US,HIGHLAND PARK,IL,US
91,AACT,DALLAS,TX,US,BROWNS SUMMIT,NC,US
80,FDEG,DALLAS,TX,US,DRAPER,UT,US
97,RBTW,LANCASTER,TX,US,HOUSTON,TX,US
88,FDEG,DALLAS,TX,US,OAKWOOD VILLAGE,OH,US
95,ODFL,LANCASTER,TX,US,CARENCRO,LA,US
62,FDEG,DALLAS,TX,US,BALCH SPRINGS,TX,US
79,FDEG,DALLAS,TX,US,NORWOOD,MA,US
89,RBTW,DALLAS,TX,US,MILTON,ON,CA
50,RBQT,LOSANGELES,CA,US,FRENCH CAMP,CA,US
66,FDEG,DALLAS,TX,US,HAUPPAUGE,NY,US
58,FDEG,DALLAS,TX,US,BERKLEY,MI,US
93,RBTW,LOSANGELES,CA,US,FONTANA,CA,US
75,FDEG,DALLAS,TX,US,PLANO,TX,US
80,RBTW,RICHMOND,VA,US,N. KINGSTOWN,RI,US
85,FDEG,DALLAS,TX,US,LAS VEGAS,NV,US
66,FDEG,DALLAS,TX,US,MOUNT PLEASANT,PA,US
86,RBTW,RICHMOND,VA,US,GROVE CITY,OH,US
86,RBTW,CHICAGO,IL,US,CRANBURY,NJ,US
88,RBTW,MILTON,ON,CA,NAVAN,ON,CA
50,FDEG,DALLAS,TX,US,SANTA BARBARA,CA,US
56,FDEG,DALLAS,TX,US,MILFORD,OH,US
78,RBTW,DALLAS,TX,US,KENOSHA,WI,US
98,ODFL,CHICAGO,IL,US,INWOOD,WV,US
99,LRGR,LANCASTER,TX,US,PLAINVIEW,TX,US
58,UPSG,DALLAS,TX,US,HAUPPAUGE,NY,US
100,RBTW,GRAND RAPIDS,MI,US,LOSANGELES,CA,US
98,FXFC,MILTON,ON,CA,MISSISSAUGA,ON,CA
88,RBTW,MILTON,ON,CA,NISKU,AB,CA
50,FDEG,DALLAS,TX,US,MANSFIELD,MA,US
50,RBTW,DALLAS,TX,US,SAN ANTONIO,TX,US
58,ODFL,RICHMOND,VA,US,ONTARIO,CA,US
67,RBTW,LANCASTER,TX,US,DALLAS,TX,US
80,FDEG,DALLAS,TX,US,SOLON,OH,US
78,FDEG,DALLAS,TX,US,SCHERTZ,TX,US
98,RBTW,LOSANGELES,CA,US,RIALTO,CA,US
50,FDEG,DALLAS,TX,US,GLENDALE,AZ,US
94,RBTW,LOSANGELES,CA,US,SHAFTER,CA,US
99,LRGR,CHICAGO,IL,US,LA GRANGE,GA,US
97,AEQC,RICHMOND,VA,US,TIFTON,GA,US
98,LRGR,CHICAGO,IL,US,COLDWATER,MI,US
94,RBTW,LOSANGELES,CA,US,LOVELAND,CO,US
91,RBTW,LOSANGELES,CA,US,RED BLUFF,CA,US
85,RBTW,LANCASTER,TX,US,PUEBLO,CO,US
80,ABFS,LANCASTER,TX,US,SAN BERNARDINO,CA,US
50,ODFL,SEATTLE,WA,US,N. KINGSTOWN,RI,US
98,RBTW,CHICAGO,IL,US,FINDLAY,OH,US
50,AEQC,RICHMOND,VA,US,HOPE MILLS,NC,US
67,FDEG,DALLAS,TX,US,ATLANTA,GA,US
98,RBTW,LANCASTER,TX,US,SAN ANTONIO,TX,US
92,USIT,LANCASTER,TX,US,TOPEKA,KS,US
50,FDEG,DALLAS,TX,US,NEW YORK,NY,US
75,RBTW,LOSANGELES,CA,US,TYLER,TX,US
84,RBTW,LOSANGELES,CA,US,AURORA,CO,US
50,FDEG,DALLAS,TX,US,ALBANY,OR,US
75,ODFL,LOSANGELES,CA,US,CHICAGO,IL,US
75,FDEG,DALLAS,TX,US,TILBURG,NL,NL
67,FDEG,DALLAS,TX,US,TAYLOR,PA,US
98,LOAM,LANCASTER,TX,US,COPPELL,TX,US
97,AFXN,CHICAGO,IL,US,CHARLESTON,TN,US
75,FDEG,DALLAS,TX,US,COUNTRYSIDE,IL,US
50,FDEG,DALLAS,TX,US,BURNSVILLE,MN,US
99,DNGS,LANCASTER,TX,US,TYLER,TX,US
98,RBTW,CHICAGO,IL,US,CHARLOTTE,NC,US
98,RBTW,CHICAGO,IL,US,VILLA RICA,GA,US
72,ODFL,LANCASTER,TX,US,PORTERVILLE,CA,US
98,ODFL,LANCASTER,TX,US,AMARILLO,TX,US
93,ODFL,LANCASTER,TX,US,NORTH LITTLE ROCK,AR,US
50,RBQT,DALLAS,TX,US,BRANDON,VT,US
34,RBQT,RICHMOND,VA,US,UXBRIDGE,MA,US
80,FDEG,DALLAS,TX,US,ROCKWALL,TX,US
96,AFXN,RICHMOND,VA,US,BALTIMORE,MD,US
97,ODFL,LOSANGELES,CA,US,CHINO,CA,US
95,FXFC,MILTON,ON,CA,OTTAWA,ON,CA
79,FDEG,DALLAS,TX,US,MILWAUKEE,WI,US
99,RBTW,RICHMOND,VA,US,LOGAN TOWNSHIP,NJ,US
92,RBTW,MILTON,ON,CA,SCARBOROUGH,ON,CA
95,IQLS,SEATTLE,WA,US,LANCASTER,TX,US
95,RBTW,RICHMOND,VA,US,BURLINGTON,NJ,US
94,RBTW,LOSANGELES,CA,US,PATTERSON,CA,US
98,FXFC,MILTON,ON,CA,BOUCHERVILLE,QC,CA
57,RBTW,CHICAGO,IL,US,PINEY FLATS,TN,US
67,RBTW,LANCASTER,TX,US,TOPEKA,KS,US
97,RBTW,LANCASTER,TX,US,REPUBLIC,MO,US
100,ODFL,DALLAS,TX,US,MOUNT PLEASANT,PA,US
90,RBTW,LOSANGELES,CA,US,TRACY,CA,US
25,RBTW,LOSANGELES,CA,US,VILLA RICA,GA,US
94,RBTW,RICHMOND,VA,US,READING,PA,US
60,FDEG,DALLAS,TX,US,SANTA FE SPRINGS,CA,US
67,RBTW,SEATTLE,WA,US,STOCKTON,CA,US
93,RBTW,LANCASTER,TX,US,GRAIN VALLEY,MO,US
80,ODFL,RICHMOND,VA,US,SCHERTZ,TX,US
86,ODFL,SEATTLE,WA,US,PHOENIX,AZ,US
95,ODFL,CHICAGO,IL,US,ENGLEWOOD,NJ,US
98,AFXN,LOSANGELES,CA,US,LOSANGELES,CA,US
99,ODFL,CHICAGO,IL,US,SIKESTON,MO,US
98,RBTW,RICHMOND,VA,US,FREDERICKSBURG,VA,US
92,DNGS,LANCASTER,TX,US,CHICAGO,IL,US
90,FXFE,DALLAS,TX,US,BOSTON,MA,US
75,ODFL,GRAND RAPIDS,MI,US,GILBERT,AZ,US
95,ODFL,DALLAS,TX,US,CORONA,CA,US
75,FDEG,DALLAS,TX,US,KNOXVILLE,TN,US
89,ODFL,DALLAS,TX,US,JESSUP,MD,US
97,RBTW,MILTON,ON,CA,BRAMPTON,ON,CA
75,FDEG,DALLAS,TX,US,CARLSTADT,NJ,US
86,ODFL,CHICAGO,IL,US,KISSIMMEE,FL,US
72,FDEG,DALLAS,TX,US,MILTON,ON,CA
50,RBTW,DALLAS,TX,US,TRACY,CA,US
78,FDEG,CHICAGO,IL,US,FISKDALE,MA,US
90,FDEG,DALLAS,TX,US,RESEDA,CA,US
50,FDEG,DALLAS,TX,US,MEMPHIS,TN,US
95,FXFC,MILTON,ON,CA,LONDON,ON,CA
89,RBTW,RICHMOND,VA,US,MADISON,AL,US
84,RBTW,LANCASTER,TX,US,BROOKHAVEN,MS,US
95,ODFL,LANCASTER,TX,US,MADISON,AL,US
98,ODFL,LOSANGELES,CA,US,WOODLAND,CA,US
98,RBTW,LOSANGELES,CA,US,ALBANY,OR,US
99,WALM,MILTON,ON,CA,CORNWALL,ON,CA
95,DART,LANCASTER,TX,US,OTTAWA,KS,US
79,FDEG,DALLAS,TX,US,TWINSBURG,OH,US
92,AEQC,RICHMOND,VA,US,MIDWAY,GA,US
99,WALM,DELTA,BC,CA,CALGARY,AB,CA
99,AFXN,CHICAGO,IL,US,BELOIT,WI,US
91,RBTW,GRAND RAPIDS,MI,US,FENTON,MO,US
93,RBTW,SEATTLE,WA,US,CHICAGO,IL,US
92,ODFL,RICHMOND,VA,US,CRANBURY,NJ,US
98,RBTW,CHICAGO,IL,US,EDWARDSVILLE,IL,US
96,USIT,LANCASTER,TX,US,BENTONVILLE,AR,US
84,BGXP,CHICAGO,IL,US,LANCASTER,TX,US
90,RBTW,LOSANGELES,CA,US,PINEY FLATS,TN,US
92,AACT,DALLAS,TX,US,FLOWER MOUND,TX,US
98,RBTW,CHICAGO,IL,US,HOPKINSVILLE,KY,US
99,RBTW,LOSANGELES,CA,US,DINUBA,CA,US
89,RBTW,MILTON,ON,CA,NEW WESTMINSTER,BC,CA
89,RBTW,DALLAS,TX,US,RICHMOND,VA,US
67,LRGR,CHICAGO,IL,US,MOUNT PLEASANT,IA,US
50,AEQC,RICHMOND,VA,US,SMYRNA,DE,US
50,FDEG,DALLAS,TX,US,BULLHEAD CITY,AZ,US
95,RBTW,CHICAGO,IL,US,CANTON,OH,US
97,RBTW,CHICAGO,IL,US,OTTAWA,IL,US
95,RBTW,RICHMOND,VA,US,WINCHESTER,VA,US
67,RBTW,DALLAS,TX,US,BRANDON,VT,US
99,LOAM,LOSANGELES,CA,US,LAS VEGAS,NV,US
50,ODFL,RICHMOND,VA,US,LOSANGELES,CA,US
95,ODFL,LANCASTER,TX,US,COPPELL,TX,US
95,RBTW,MILTON,ON,CA,AJAX,ON,CA
98,RBTW,RICHMOND,VA,US,LAKELAND,FL,US
88,RBTW,LANCASTER,TX,US,FORNEY,TX,US
50,RBTW,CHICAGO,IL,US,GREENVILLE,TN,US
67,FDEG,DALLAS,TX,US,BLOOMINGTON,IL,US
98,LRGR,LOSANGELES,CA,US,RED BLUFF,CA,US
50,RBTW,DALLAS,TX,US,ROMEOVILLE,IL,US
97,AACT,DALLAS,TX,US,LITHIA SPRINGS,GA,US
99,ODFL,LOSANGELES,CA,US,CLACKAMAS,OR,US
88,AACT,DALLAS,TX,US,MYRTLE BEACH,SC,US
50,RBTW,RICHMOND,VA,US,ONTARIO,CA,US
94,ODFL,DALLAS,TX,US,SAYREVILLE,NJ,US
98,RBTW,LOSANGELES,CA,US,GRANTSVILLE,UT,US
80,FDEG,DALLAS,TX,US,GRAND RAPIDS,MI,US
50,RBQT,RICHMOND,VA,US,PINEY FLATS,TN,US
94,ODFL,DALLAS,TX,US,CHARLESTON,TN,US
50,FDEG,DALLAS,TX,US,PRINCETON,IL,US
67,FDEG,DALLAS,TX,US,MONTGOMERY,NY,US
96,WALM,MILTON,ON,CA,MISSISSAUGA,ON,CA
97,AFXN,CHICAGO,IL,US,LIVONIA,MI,US
100,HOSD,GRAND RAPIDS,MI,US,CHICAGO,IL,US
98,RBTW,LANCASTER,TX,US,SEALY,TX,US
97,RBTW,LANCASTER,TX,US,RICHMOND,VA,US
