TENDER_PERFORMANCE,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY
77,FDEG,DALLAS,TX,US,KISSIMMEE,FL,US
65,RBTW,CHICAGO,IL,US,SEATTLE,WA,US
95,AEQC,RICHMOND,VA,US,STUARTS DRAFT,VA,US
82,RBTW,LOSANGELES,CA,US,CHINO,CA,US
50,RBTW,CHICAGO,IL,US,MILTON,ON,CA
92,FDEG,DALLAS,TX,US,ORLANDO,FL,US
94,AEQC,RICHMOND,VA,US,LUGOFF,SC,US
87,RBTW,SEATTLE,WA,US,LOSANGELES,CA,US
99,RBTW,GRAND RAPIDS,MI,US,LANCASTER,TX,US
75,FDEG,DALLAS,TX,US,ONTARIO,CA,US
60,LRGR,SEATTLE,WA,US,LOSANGELES,CA,US
99,RBTW,LOSANGELES,CA,US,APPLE VALLEY,CA,US
75,RBTW,CHICAGO,IL,US,PORT WENTWORTH,GA,US
75,ODFL,LANCASTER,TX,US,WARSAW,NC,US
50,FDEG,DALLAS,TX,US,FORT WORTH,TX,US
99,LRGR,RICHMOND,VA,US,CULLMAN,AL,US
96,RBTW,LANCASTER,TX,US,SANGER,TX,US
97,RBTW,LOSANGELES,CA,US,SALEM,OR,US
60,RBTW,RICHMOND,VA,US,SUFFOLK,VA,US
50,RBTW,LOSANGELES,CA,US,MEMPHIS,TN,US
50,BNCH,DALLAS,TX,US,PRINCETON,IL,US
50,ODFL,LOSANGELES,CA,US,GREENVILLE,TN,US
98,RBTW,LOSANGELES,CA,US,DUPONT,WA,US
90,RBTW,SEATTLE,WA,US,RED BLUFF,CA,US
50,FDEG,DALLAS,TX,US,INCLINE VILLAGE,NV,US
96,RBTW,CHICAGO,IL,US,LOSANGELES,CA,US
97,ODFL,LOSANGELES,CA,US,SAN BERNARDINO,CA,US
63,FDEG,DALLAS,TX,US,NEW BERLIN,WI,US
99,RBTW,GRAND RAPIDS,MI,US,RICHMOND,VA,US
97,FXFC,MILTON,ON,CA,SCARBOROUGH,ON,CA
99,RBTW,GRAND RAPIDS,MI,US,MILTON,ON,CA
75,RBTW,LOSANGELES,CA,US,SALT LAKE CITY,UT,US
75,FDEG,DALLAS,TX,US,PENSACOLA,FL,US
96,ODFL,CHICAGO,IL,US,JEFFERSON,GA,US
95,ODFL,RICHMOND,VA,US,NORFOLK,VA,US
89,RBTW,RICHMOND,VA,US,MARCY,NY,US
84,FDEG,DALLAS,TX,US,MIAMI,FL,US
97,AFXN,LOSANGELES,CA,US,RIALTO,CA,US
96,ODFL,RICHMOND,VA,US,FARMINGDALE,NY,US
97,AFXN,RICHMOND,VA,US,FISHERSVILLE,VA,US
34,RBTW,RICHMOND,VA,US,FLORENCE,SC,US
88,RBTW,CHICAGO,IL,US,YORK,PA,US
67,FDEG,DALLAS,TX,US,CHATSWORTH,CA,US
97,LRGR,LOSANGELES,CA,US,BUCKEYE,AZ,US
50,FDEG,DALLAS,TX,US,BROOKFIELD,WI,US
98,RBTW,CHICAGO,IL,US,SEYMOUR,IN,US
75,LRGR,RICHMOND,VA,US,WEST JEFFERSON,OH,US
80,COLL,MILTON,ON,CA,CALGARY,AB,CA
80,ODFL,LANCASTER,TX,US,RED BLUFF,CA,US
50,FDEG,DALLAS,TX,US,LYNN HAVEN,FL,US
80,ODFL,LANCASTER,TX,US,HERMISTON,OR,US
50,RBTW,CHICAGO,IL,US,HOUSTON,TX,US
95,RBTW,CHICAGO,IL,US,AURORA,IL,US
89,AFXN,LANCASTER,TX,US,AMARILLO,TX,US
95,LRGR,LANCASTER,TX,US,CULLMAN,AL,US
97,RBTW,CHICAGO,IL,US,JOLIET,IL,US
69,FDEG,DALLAS,TX,US,CARSON CITY,NV,US
85,FXFC,MILTON,ON,CA,NEW WESTMINSTER,BC,CA
93,RBTW,LANCASTER,TX,US,CHICAGO,IL,US
96,AFXN,CHICAGO,IL,US,PLAINFIELD,IN,US
90,AEQC,RICHMOND,VA,US,YORK,PA,US
96,RBTW,LOSANGELES,CA,US,LANCASTER,TX,US
50,FDEG,DALLAS,TX,US,BALDWINSVILLE,NY,US
94,AFXN,LANCASTER,TX,US,PARK CITY,KS,US
98,RBTW,LOSANGELES,CA,US,SPOKANE,WA,US
98,DNGS,LANCASTER,TX,US,SEARCY,AR,US
72,FXFC,MILTON,ON,CA,NANAIMO,BC,CA
94,FXFC,MILTON,ON,CA,ROCKY VIEW COUNTY,AB,CA
99,RBTW,CHICAGO,IL,US,COLDWATER,MI,US
99,RBTW,RICHMOND,VA,US,CHICAGO,IL,US
75,FDEG,DALLAS,TX,US,SCRANTON,PA,US
50,ODFL,LOSANGELES,CA,US,SAINT PETERSBURG,FL,US
97,HOSD,CHICAGO,IL,US,SEYMOUR,IN,US
89,FDEG,DALLAS,TX,US,CITY OF INDUSTRY,CA,US
75,FDEG,DALLAS,TX,US,EL PASO,TX,US
97,RBTW,LOSANGELES,CA,US,WEST JORDAN,UT,US
99,BNCH,WAYLAND,MI,US,TILBURG,NL,NL
78,RBTW,LOSANGELES,CA,US,KANSAS CITY,KS,US
87,FDEG,DALLAS,TX,US,HOUSTON,TX,US
50,FDEG,DALLAS,TX,US,RALEIGH,NC,US
67,RBTW,RICHMOND,VA,US,RIVERSIDE,CA,US
97,RBTW,LOSANGELES,CA,US,HERMISTON,OR,US
50,FDEG,CHICAGO,IL,US,RAYMOND,NH,US
80,RBTW,DALLAS,TX,US,CHICAGO,IL,US
90,FXFC,MILTON,ON,CA,NISKU,AB,CA
78,SCNN,CHICAGO,IL,US,OCONOMOWOC,WI,US
60,SCNN,CHICAGO,IL,US,INDIANAPOLIS,IN,US
90,AFXN,SEATTLE,WA,US,STOCKTON,CA,US
98,BGXP,RICHMOND,VA,US,CHAMBERSBURG,PA,US
97,FXFC,MILTON,ON,CA,DELTA,BC,CA
97,ODFL,CHICAGO,IL,US,LA CROSSE,WI,US
99,ODFL,CHICAGO,IL,US,WEST JEFFERSON,OH,US
50,RBTW,CHICAGO,IL,US,TAYLOR,PA,US
97,AEQC,GRAND RAPIDS,MI,US,RICHMOND,VA,US
50,FDEG,LANCASTER,TX,US,TUCSON,AZ,US
98,RBTW,CHICAGO,IL,US,LENEXA,KS,US
97,AFXN,LANCASTER,TX,US,FRESNO,TX,US
93,FDEG,DALLAS,TX,US,DENVER,CO,US
75,FDEG,DALLAS,TX,US,CHULA VISTA,CA,US
86,FDEG,DALLAS,TX,US,CONCORD,CA,US
80,FDEG,DALLAS,TX,US,BIRMINGHAM,AL,US
95,AFXN,CHICAGO,IL,US,CHANNAHON,IL,US
84,FDEG,DALLAS,TX,US,NEW BRIGHTON,MN,US
89,FDEG,DALLAS,TX,US,GLENVIEW,IL,US
84,COLL,MILTON,ON,CA,BRAMPTON,ON,CA
89,ODFL,LANCASTER,TX,US,OLIVE BRANCH,MS,US
95,RBTW,RICHMOND,VA,US,WILTON,NY,US
87,AFXN,CHICAGO,IL,US,JOLIET,IL,US
86,RBTW,LANCASTER,TX,US,PALESTINE,TX,US
94,ODFL,LANCASTER,TX,US,EDGERTON,KS,US
50,FDEG,DALLAS,TX,US,LEXINGTON,SC,US
50,FDEG,DALLAS,TX,US,COLORADO SPRINGS,CO,US
87,RBTW,CHICAGO,IL,US,RICHMOND,VA,US
90,RBTW,LOSANGELES,CA,US,BUCKEYE,AZ,US
95,RBTW,LANCASTER,TX,US,SEARCY,AR,US
80,RBTW,MILTON,ON,CA,MILTON,ON,CA
100,DNGS,LANCASTER,TX,US,PALESTINE,TX,US
97,RBTW,LANCASTER,TX,US,KANSAS CITY,KS,US
89,AFXN,CHICAGO,IL,US,SHELBY TOWNSHIP,MI,US
73,FDEG,DALLAS,TX,US,ANAHEIM,CA,US
99,LRGR,RICHMOND,VA,US,SMYRNA,DE,US
90,RBTW,LOSANGELES,CA,US,ONTARIO,CA,US
54,RBTW,LOSANGELES,CA,US,GREENVILLE,TN,US
97,RBTW,RICHMOND,VA,US,PENNS GROVE,NJ,US
97,RBTW,RICHMOND,VA,US,NICHOLS,NY,US
95,AFXN,LANCASTER,TX,US,OKLAHOMA CITY,OK,US
98,RBTW,LOSANGELES,CA,US,TURLOCK,CA,US
95,AEQC,RICHMOND,VA,US,FALL RIVER,MA,US
50,AACT,DALLAS,TX,US,LAKE BUENA VISTA,FL,US
97,FXFC,MILTON,ON,CA,CALGARY,AB,CA
84,AEQC,RICHMOND,VA,US,SUTHERLAND,VA,US
70,FDEG,DALLAS,TX,US,SAN ANTONIO,TX,US
97,FXFC,MILTON,ON,CA,TSAWWASSEN,BC,CA
91,FDEG,DALLAS,TX,US,SAN DIEGO,CA,US
98,DNGS,LANCASTER,TX,US,MIDLOTHIAN,TX,US
95,RBTW,RICHMOND,VA,US,WOODLAND,PA,US
50,FDEG,DALLAS,TX,US,TORONTO,ON,CA
88,RBTW,RICHMOND,VA,US,CANTON,OH,US
97,ODFL,CHICAGO,IL,US,THE COLONY,TX,US
50,RBTW,DALLAS,TX,US,HAUPPAUGE,NY,US
67,ODFL,LOSANGELES,CA,US,PINEY FLATS,TN,US
97,RBTW,LANCASTER,TX,US,NEW BRAUNFELS,TX,US
75,FDEG,DALLAS,TX,US,ALBUQUERQUE,NM,US
98,ODFL,DALLAS,TX,US,ORLANDO,FL,US
80,RBTW,LOSANGELES,CA,US,PUEBLO,CO,US
89,ODFL,RICHMOND,VA,US,CONCORD,NC,US
98,RBTW,CHICAGO,IL,US,GREENFIELD,IN,US
89,AACT,DALLAS,TX,US,TUCKER,GA,US
99,LRGR,LANCASTER,TX,US,NEW BRAUNFELS,TX,US
95,RBTW,LOSANGELES,CA,US,VISALIA,CA,US
97,RBTW,CHICAGO,IL,US,MONROE,OH,US
96,RBTW,CHICAGO,IL,US,SHELBY TOWNSHIP,MI,US
74,RBTW,LOSANGELES,CA,US,MORENO VALLEY,CA,US
90,AEQC,RICHMOND,VA,US,GROVE CITY,OH,US
75,RBTW,CHICAGO,IL,US,GRAND RAPIDS,MI,US
98,DNGS,LANCASTER,TX,US,SANGER,TX,US
80,ODFL,LOSANGELES,CA,US,SUFFOLK,VA,US
95,RBTW,RICHMOND,VA,US,LEWISBERRY,PA,US
99,ODFL,CHICAGO,IL,US,OMAHA,NE,US
67,FDEG,DALLAS,TX,US,ST LOUIS,MO,US
91,ODFL,RICHMOND,VA,US,LOGAN TOWNSHIP,NJ,US
69,FDEG,DALLAS,TX,US,JACKSONVILLE,FL,US
91,HOSD,CHICAGO,IL,US,SPRING VALLEY,IL,US
86,FDEG,DALLAS,TX,US,KATY,TX,US
78,FDEG,DALLAS,TX,US,TULSA,OK,US
86,RBTW,LANCASTER,TX,US,BENTONVILLE,AR,US
67,FDEG,DALLAS,TX,US,KILGORE,TX,US
94,RBTW,LOSANGELES,CA,US,CHICAGO,IL,US
99,RBTW,RICHMOND,VA,US,EASTON,PA,US
92,LOAM,LOSANGELES,CA,US,WOODLAND,CA,US
96,IQLS,SEATTLE,WA,US,CHICAGO,IL,US
50,RBTW,DALLAS,TX,US,OLIVE BRANCH,MS,US
50,RBTW,DALLAS,TX,US,SCHERTZ,TX,US
98,RBTW,RICHMOND,VA,US,LANCASTER,TX,US
94,BNCH,GRAND RAPIDS,MI,US,WAYLAND,MI,US
88,RBTW,RICHMOND,VA,US,MONROE,OH,US
97,ODFL,DALLAS,TX,US,LAS VEGAS,NV,US
67,RBTW,RICHMOND,VA,US,BETHLEHEM,PA,US
100,VDFX,LANCASTER,TX,US,LANCASTER,TX,US
78,RBTW,LOSANGELES,CA,US,SAN BERNARDINO,CA,US
85,LRGR,SEATTLE,WA,US,LOVELAND,CO,US
50,BNCH,DALLAS,TX,US,TILBURG,NL,NL
89,ABFS,CHICAGO,IL,US,SCOTTSVILLE,KY,US
91,RBTW,LANCASTER,TX,US,MADISON,AL,US
98,IQLS,GRAND RAPIDS,MI,US,LOSANGELES,CA,US
97,BGXP,RICHMOND,VA,US,WEST JEFFERSON,OH,US
98,ODFL,DALLAS,TX,US,JERSEY CITY,NJ,US
95,RBTW,RICHMOND,VA,US,WURTSBORO,NY,US
95,ODFL,RICHMOND,VA,US,NORTH CANTON,OH,US
84,ODFL,RICHMOND,VA,US,PRINCE GEORGE,VA,US
50,FDEG,DALLAS,TX,US,LONG BEACH,CA,US
95,RBTW,LANCASTER,TX,US,SCHERTZ,TX,US
72,FDEG,DALLAS,TX,US,QUINCY,IL,US
67,FDEG,DALLAS,TX,US,RACINE,WI,US
95,RBTW,LOSANGELES,CA,US,RIVERSIDE,CA,US
97,AFXN,LOSANGELES,CA,US,RIVERSIDE,CA,US
95,RBTW,LOSANGELES,CA,US,SACRAMENTO,CA,US
93,RBTW,RICHMOND,VA,US,NEW CASTLE,DE,US
67,RBTW,LOSANGELES,CA,US,MADISON,AL,US
100,LRGR,RICHMOND,VA,US,WOODLAND,PA,US
99,ODFL,DALLAS,TX,US,JACKSONVILLE,FL,US
50,RBTW,DALLAS,TX,US,BERKLEY,MI,US
95,AACT,DALLAS,TX,US,HOUSTON,TX,US
98,LRGR,RICHMOND,VA,US,AUBURNDALE,FL,US
75,RBTW,CHICAGO,IL,US,OMAHA,NE,US
84,FDEG,DALLAS,TX,US,SPARKS,NV,US
99,RBTW,CHICAGO,IL,US,MOUNT PLEASANT,IA,US
97,ODFL,DALLAS,TX,US,CAROL STREAM,IL,US
97,ODFL,CHICAGO,IL,US,DORAL,FL,US
96,RBTW,RICHMOND,VA,US,NEWTON,NC,US
67,FDEG,DALLAS,TX,US,PORTLAND,OR,US
99,ODFL,CHICAGO,IL,US,CHICAGO,IL,US
50,NFFI,DELTA,BC,CA,RICHMOND,BC,CA
50,RBTW,DALLAS,TX,US,MOUNT PLEASANT,PA,US
93,LRGR,RICHMOND,VA,US,DOUGLAS,GA,US
85,ODFL,RICHMOND,VA,US,MADISON,AL,US
96,RBTW,RICHMOND,VA,US,AMSTERDAM,NY,US
97,ODFL,DALLAS,TX,US,BELOIT,WI,US
88,FDEG,DALLAS,TX,US,BORDENTOWN,NJ,US
89,AEQC,RICHMOND,VA,US,MOUNT CRAWFORD,VA,US
